period,ncm,descricao_ncm,int_rs,ouf,ext,demanda_rs,part_rs,dependencia_nt,source_file,natureza,formula_part_rs
2024-07,10062010,"Arroz descascado (cargo/castanho), parboilizado",2896566,490641,0,3387207,0.8551487995862077,FORA_DAS_FAIXAS_NT,Composicao_de_Mercado_07_2024.csv,DADO_CALCULADO_SOBRE_DADO_OBSERVADO,INT/(INT+OUF+EXT) — NT CIET 05/2026
2024-07,10062020,"Arroz descascado (cargo/castanho), não parboilizado",3573345,89425,22543383,26206153,0.13635519108813873,ALTA,Composicao_de_Mercado_07_2024.csv,DADO_CALCULADO_SOBRE_DADO_OBSERVADO,INT/(INT+OUF+EXT) — NT CIET 05/2026
2024-07,10063011,"Arroz semibranqueado ou branqueado, parboilizado, polido ou brunido",34978911,3013866,0,37992777,0.9206726583845135,FORA_DAS_FAIXAS_NT,Composicao_de_Mercado_07_2024.csv,DADO_CALCULADO_SOBRE_DADO_OBSERVADO,INT/(INT+OUF+EXT) — NT CIET 05/2026
2024-07,10063019,"Outros tipos de arroz semibranqueado ou branqueado, parboilizado",1272779,3155,0,1275934,0.9975273015688899,FORA_DAS_FAIXAS_NT,Composicao_de_Mercado_07_2024.csv,DADO_CALCULADO_SOBRE_DADO_OBSERVADO,INT/(INT+OUF+EXT) — NT CIET 05/2026
2024-07,10063021,"Arroz semibranqueado ou branqueado, não parboilizado, polido ou brunido",128371113,2997377,260902867,392271357,0.327250793893677,FORA_DAS_FAIXAS_NT,Composicao_de_Mercado_07_2024.csv,DADO_CALCULADO_SOBRE_DADO_OBSERVADO,INT/(INT+OUF+EXT) — NT CIET 05/2026
2024-07,10063029,"Outros tipos de arroz semibranqueado ou branqueado, não parboilizado",58469,70170,0,128639,0.4545200133707507,FORA_DAS_FAIXAS_NT,Composicao_de_Mercado_07_2024.csv,DADO_CALCULADO_SOBRE_DADO_OBSERVADO,INT/(INT+OUF+EXT) — NT CIET 05/2026
2024-07,10064000,Arroz quebrado,53832550,17796037,0,71628587,0.7515511928219385,FORA_DAS_FAIXAS_NT,Composicao_de_Mercado_07_2024.csv,DADO_CALCULADO_SOBRE_DADO_OBSERVADO,INT/(INT+OUF+EXT) — NT CIET 05/2026
2024-08,10062010,"Arroz descascado (cargo/castanho), parboilizado",4775656,347384,0,5123040,0.9321918236047347,FORA_DAS_FAIXAS_NT,Composicao_de_Mercado_08_2024.csv,DADO_CALCULADO_SOBRE_DADO_OBSERVADO,INT/(INT+OUF+EXT) — NT CIET 05/2026
2024-08,10062020,"Arroz descascado (cargo/castanho), não parboilizado",2979396,79262,13890570,16949228,0.17578358141149555,MEDIA,Composicao_de_Mercado_08_2024.csv,DADO_CALCULADO_SOBRE_DADO_OBSERVADO,INT/(INT+OUF+EXT) — NT CIET 05/2026
2024-08,10063011,"Arroz semibranqueado ou branqueado, parboilizado, polido ou brunido",38998975,2693739,0,41692714,0.9353906536283534,FORA_DAS_FAIXAS_NT,Composicao_de_Mercado_08_2024.csv,DADO_CALCULADO_SOBRE_DADO_OBSERVADO,INT/(INT+OUF+EXT) — NT CIET 05/2026
