market,submarket,rule_type,cnae_rule,primary_inclusion,scope_status,pom_basis,analytical_note
BENS_ESSENCIAIS,supermercados_minimercados,exact,4711301,TRUE,CORE,"POM Bens Essenciais: supermercados/hipermercados e varejo alimentar básico","Código mantido no crosswalk mesmo sem ocorrência na fotografia SINAC/SIMEI"
BENS_ESSENCIAIS,supermercados_minimercados,exact,4711302,TRUE,CORE,"POM Bens Essenciais: supermercados/hipermercados e varejo alimentar básico",""
BENS_ESSENCIAIS,supermercados_minimercados,exact,4712100,TRUE,CORE,"POM Bens Essenciais: minimercados, mercearias e mercados de bairro",""
BENS_ESSENCIAIS,padarias_laticinios,exact,4721102,TRUE,CORE,"POM Bens Essenciais: padarias",""
BENS_ESSENCIAIS,padarias_laticinios,exact,4721103,TRUE,CORE,"POM Bens Essenciais: alimentos de consumo recorrente","Laticínios/frios incorporados ao núcleo alimentar"
BENS_ESSENCIAIS,doces_confeitos,exact,4721104,FALSE,REVIEW_NOT_PRIMARY,"POM foca primeira necessidade","Não entra no total primário conservador"
BENS_ESSENCIAIS,acougues_peixarias,exact,4722901,TRUE,CORE,"POM Bens Essenciais: açougues",""
BENS_ESSENCIAIS,acougues_peixarias,exact,4722902,TRUE,CORE,"POM Bens Essenciais: varejo alimentar","Peixarias incorporadas ao núcleo alimentar"
BENS_ESSENCIAIS,bebidas,exact,4723700,TRUE,CORE,"POM Bens Essenciais explicita alimentos e bebidas",""
BENS_ESSENCIAIS,hortifruti,exact,4724500,TRUE,CORE,"POM Bens Essenciais: fruteiras/hortifrúti",""
BENS_ESSENCIAIS,conveniencia_outros_alimentos,exact,4729602,TRUE,CORE,"POM Bens Essenciais: alimentos e primeira necessidade","Loja de conveniência entra apenas por predominância alimentar; interpretar com cautela"
BENS_ESSENCIAIS,conveniencia_outros_alimentos,exact,4729699,TRUE,CORE,"POM Bens Essenciais: alimentos e primeira necessidade",""
BENS_ESSENCIAIS,tabacaria,exact,4729601,FALSE,EXCLUDED,"POM foca bens essenciais/primeira necessidade","Tabacaria excluída do recorte primário"
BENS_ESSENCIAIS,atacado_atacarejo,exact,4691500,FALSE,ADJACENT_NOT_PRIMARY,"POM cita atacarejos","CNAE atacadista não é somado ao recorte varejista SINAC/SIMEI sem reconciliação estabelecimento a estabelecimento"

SAUDE_HIGIENE,farmacias_humanas,exact,4771701,TRUE,CORE,"POM Saúde/Higiene: farmácias e drogarias; produtos para prevenção e tratamento",""
SAUDE_HIGIENE,farmacias_humanas,exact,4771702,TRUE,CORE,"POM Saúde/Higiene: farmácias e drogarias",""
SAUDE_HIGIENE,farmacias_humanas,exact,4771703,TRUE,CORE,"POM Saúde/Higiene: farmácias e drogarias","Código mantido mesmo sem ocorrência na fotografia"
SAUDE_HIGIENE,medicamentos_veterinarios,exact,4771704,FALSE,ADJACENT_PET_NOT_PRIMARY,"POM Saúde/Higiene é orientado ao cuidado humano; POM Não Essenciais inclui mercado pet","Não entra no total primário de saúde/higiene"
SAUDE_HIGIENE,cosmeticos_perfumaria_higiene,exact,4772500,TRUE,CORE,"POM Saúde/Higiene: perfumarias, cosméticos e cuidados com o corpo",""
SAUDE_HIGIENE,artigos_medicos_ortopedicos,exact,4773300,TRUE,CORE,"POM Saúde/Higiene: artigos médicos e ortopédicos",""
SAUDE_HIGIENE,oticas,exact,4774100,TRUE,CORE,"POM Saúde/Higiene: óticas quando não atuam no ramo estético","CNAE não permite separar finalidade estética; manter limitação"

BENS_NAO_ESSENCIAIS,materiais_construcao,exact,4741500,TRUE,CORE,"POM Não Essenciais: materiais de construção",""
BENS_NAO_ESSENCIAIS,materiais_construcao,exact,4742300,TRUE,CORE,"POM Não Essenciais: materiais de construção",""
BENS_NAO_ESSENCIAIS,materiais_construcao,exact,4743100,TRUE,CORE,"POM Não Essenciais: materiais de construção",""
BENS_NAO_ESSENCIAIS,materiais_construcao,exact,4744001,TRUE,CORE,"POM Não Essenciais: materiais de construção",""
BENS_NAO_ESSENCIAIS,materiais_construcao,exact,4744002,TRUE,CORE,"POM Não Essenciais: materiais de construção",""
BENS_NAO_ESSENCIAIS,materiais_construcao,exact,4744003,TRUE,CORE,"POM Não Essenciais: materiais de construção",""
BENS_NAO_ESSENCIAIS,materiais_construcao,exact,4744004,TRUE,CORE,"POM Não Essenciais: materiais de construção",""
BENS_NAO_ESSENCIAIS,materiais_construcao,exact,4744005,TRUE,CORE,"POM Não Essenciais: materiais de construção",""
BENS_NAO_ESSENCIAIS,materiais_construcao,exact,4744006,TRUE,CORE,"POM Não Essenciais: materiais de construção",""
BENS_NAO_ESSENCIAIS,materiais_construcao,exact,4744099,TRUE,CORE,"POM Não Essenciais: materiais de construção",""
BENS_NAO_ESSENCIAIS,eletrodomesticos_audio_video,exact,4753900,TRUE,CORE,"POM Não Essenciais: eletrodomésticos; roteiro também menciona eletrônicos",""
BENS_NAO_ESSENCIAIS,moveis_decoracao_domesticos,exact,4754701,TRUE,CORE,"POM Não Essenciais: móveis e decoração",""
BENS_NAO_ESSENCIAIS,moveis_decoracao_domesticos,exact,4754702,TRUE,CORE,"POM Não Essenciais: móveis e decoração",""
BENS_NAO_ESSENCIAIS,moveis_decoracao_domesticos,exact,4754703,TRUE,CORE,"POM Não Essenciais: móveis e decoração",""
BENS_NAO_ESSENCIAIS,moveis_decoracao_domesticos,exact,4755501,TRUE,CORE,"POM Não Essenciais: decoração e artigos domésticos",""
BENS_NAO_ESSENCIAIS,moveis_decoracao_domesticos,exact,4755502,TRUE,CORE,"POM Não Essenciais: decoração e artigos domésticos",""
BENS_NAO_ESSENCIAIS,moveis_decoracao_domesticos,exact,4755503,TRUE,CORE,"POM Não Essenciais: decoração e artigos domésticos",""
BENS_NAO_ESSENCIAIS,moveis_decoracao_domesticos,exact,4759801,TRUE,CORE,"POM Não Essenciais: decoração e artigos domésticos",""
BENS_NAO_ESSENCIAIS,moveis_decoracao_domesticos,exact,4759899,TRUE,CORE,"POM Não Essenciais: decoração e artigos domésticos",""
BENS_NAO_ESSENCIAIS,papelaria,exact,4761003,TRUE,CORE,"POM Não Essenciais: papelaria",""
BENS_NAO_ESSENCIAIS,vestuario,exact,4781400,TRUE,CORE,"POM Não Essenciais: moda e vestuário",""
BENS_NAO_ESSENCIAIS,calcados,exact,4782201,TRUE,CORE,"POM Não Essenciais: calçados",""
BENS_NAO_ESSENCIAIS,petshop,exact,4789004,TRUE,CORE,"POM Não Essenciais: mercado pet",""
BENS_NAO_ESSENCIAIS,informatica,exact,4751201,FALSE,ADJACENT_REVIEW,"Roteiro menciona eletrônicos, mas introdução delimita eletrodomésticos","Não entra no total primário"
BENS_NAO_ESSENCIAIS,telefonia,exact,4752100,FALSE,ADJACENT_REVIEW,"Roteiro menciona eletrônicos, mas introdução delimita eletrodomésticos","Não entra no total primário"

